Outlet_ID,area(sqft),tot_revnew,tot_icecream_vol,Clusters
7203,5660,3492920.0,6949.200000000001,5
1878,4138,3606340.0,7208.0,5
1740,5546,3755910.0,7517.400000000001,5
4366,5134,4060130.0,8060.8,5
8358,4100,3918700.0,7875.6,5
4722,5593,4167730.0,8332.6,5
5579,4184,3232900.0,6431.200000000001,5
3876,4063,3626680.0,7174.400000000001,5
7275,3162,3376030.0,6754.400000000001,5
3726,5537,3370700.0,6779.8,5
9528,5763,2904230.0,5833.8,5
2152,3226,3516500.0,7039.8,5
3656,4795,3927120.0,7858.0,5
4395,3719,3308400.0,6653.6,5
7405,4797,3381120.0,6766.0,5
9945,3050,3901990.0,7759.400000000001,5
6950,5765,3940950.0,7963.8,5
5199,4126,3248030.0,6550.8,5
5556,3439,3771090.0,7528.0,5
8920,4936,3819870.0,7612.8,5
6352,4223,3415780.0,6790.6,5
2508,4266,3275700.0,6579.200000000001,5
5561,4393,2992430.0,5987.8,5
6952,5690,3108260.0,6210.6,5
5295,4459,3471580.0,6972.0,5
8493,3964,3830580.0,7741.8,5
6166,3639,3277340.0,6572.8,5
2979,4136,3270080.0,6543.8,5
9941,4967,3843290.0,7635.400000000001,5
1110,4051,3320060.0,6599.400000000001,5
7864,4359,3465290.0,6902.0,5
1734,4648,3239010.0,6516.8,5
8228,5406,3752980.0,7460.6,5
3807,5632,3403380.0,6814.400000000001,5
5879,4879,3659560.0,7329.6,5
2673,5685,3522270.0,7028.200000000001,5
6055,4779,6488470.0,12989.6,5
3715,4303,2960820.0,5961.0,5
9780,3544,3820990.0,7591.8,5
6863,3606,3781390.0,7601.400000000001,5
5591,3886,3342890.0,6655.8,5
9919,3210,3771040.0,7519.200000000001,5
4975,4832,3700590.0,7372.0,5
7416,3642,3627100.0,7240.200000000001,5
6026,4395,3665230.0,7333.0,5
7321,5905,3431460.0,6891.6,5
3582,5368,3958490.0,7942.0,5
4625,3445,3870600.0,7749.200000000001,5
3447,5947,3659420.0,7363.0,5
4092,4738,3476360.0,6952.8,5
6025,5479,3532600.0,7046.6,5
9440,4859,7048900.0,14125.800000000001,5
8194,4995,3143370.0,6270.8,5
2846,3043,3765910.0,7548.6,5
4192,4090,3623990.0,7257.0,5
8119,3905,3533790.0,7073.8,5
9823,4843,3062420.0,6104.0,5
8893,3301,2996540.0,6050.0,5
5021,3470,3462240.0,6911.8,5
8735,3933,4127200.0,8244.4,5
7332,4799,3765460.0,7548.8,5
6292,4278,3463540.0,6935.400000000001,5
7462,5121,4016620.0,7956.400000000001,5
5250,5033,3240140.0,6527.6,5
1997,4496,3597220.0,7167.8,5
3097,3627,3819380.0,7607.6,5
2499,5676,3724190.0,7418.400000000001,5
1234,3999,3454920.0,6869.200000000001,5
1008,3387,3290990.0,6600.400000000001,5
9716,4088,3790650.0,7614.200000000001,5
8619,5740,3288810.0,6580.8,5
1097,4175,2954740.0,5943.0,5
2419,4881,3458550.0,6961.400000000001,5
6094,5661,3237650.0,6483.6,5
1946,3563,3825770.0,7655.400000000001,5
1818,4003,3388230.0,6738.8,5
3425,3893,3404660.0,6799.6,5
3688,4030,3568680.0,7157.6,5
9010,3614,3286090.0,6655.6,5
8193,5400,3495860.0,6995.400000000001,5
2906,3767,3266650.0,6518.8,5
3083,3403,3249420.0,6475.200000000001,5
4299,4009,3820000.0,7640.400000000001,5
6039,5118,3462670.0,6906.400000000001,5
2142,3538,3502580.0,6987.200000000001,5
1635,3465,3609650.0,7171.6,5
1732,4524,3688440.0,7348.0,5
7022,4020,3160330.0,6303.8,5
7466,5610,3849090.0,7669.200000000001,5
6900,5355,7435030.0,14792.400000000001,5
2957,3605,3579220.0,7125.6,5
7687,5475,3525190.0,7067.8,5
2481,3727,3337430.0,6659.400000000001,5
9979,4456,3178310.0,6378.400000000001,5
9549,3897,3657740.0,7300.0,5
7657,4286,3803260.0,7545.200000000001,5
5859,4786,7832670.0,15618.6,5
5152,4572,3442770.0,6872.400000000001,5
6135,5069,3543750.0,7065.200000000001,5
7260,4085,3321760.0,6647.8,5
4108,4232,3136210.0,6293.8,5
2137,4843,3749760.0,7455.8,5
2263,5756,3486330.0,6946.8,5
9349,4175,3169780.0,6309.0,5
1520,4114,3617610.0,7228.200000000001,5
3221,5774,4057700.0,8134.0,5
4752,5700,3249170.0,6546.0,5
8286,3314,3187720.0,6333.400000000001,5
9062,5775,3947270.0,7930.400000000001,5
2655,5692,3535820.0,7050.0,5
1859,4527,3370220.0,6768.0,5
3980,5216,3266070.0,6503.400000000001,5
5797,5214,3654580.0,7290.200000000001,5
6126,3959,3583960.0,7154.6,5
2716,3411,3385920.0,6763.8,5
6156,3147,3283160.0,6611.8,5
7050,5378,3717880.0,7354.8,5
7238,4995,3651710.0,7290.6,5
9331,5168,3299860.0,6608.8,5
8594,3416,3604310.0,7213.8,5
5134,5645,3444140.0,6839.8,5
8187,3666,3615790.0,7227.200000000001,5
5643,3601,3510360.0,7066.400000000001,5
7417,5533,3309930.0,6634.0,5
2110,4486,3454320.0,6923.400000000001,5
3420,5423,3210320.0,6407.6,5
2276,4868,3550700.0,7146.400000000001,5
9185,4537,3278570.0,6579.8,5
1696,3638,3671680.0,7352.0,5
8319,3709,3902070.0,7772.6,5
6766,3886,2912810.0,5826.8,5
4365,3934,3200840.0,6395.8,5
9727,5278,2960680.0,5961.8,5
7138,3587,3685110.0,7322.400000000001,5
4734,5908,3887850.0,7758.200000000001,5
1259,5698,3092440.0,6208.0,5
2126,3572,3716930.0,7474.400000000001,5
7978,5007,3469740.0,6964.6,5
6105,5595,3537090.0,7145.6,5
1150,4605,3557920.0,7141.6,5
9355,5453,3755780.0,7559.200000000001,5
4920,5777,3459280.0,6893.200000000001,5
9971,3960,3658320.0,7296.6,5
7897,4780,3857490.0,7713.6,5
8025,5194,3918570.0,7892.0,5
5340,4340,3580980.0,7197.200000000001,5
8419,4679,3214000.0,6423.200000000001,5
6210,4591,3280710.0,6541.0,5
8996,4164,3674470.0,7329.6,5
2562,5754,3295390.0,6567.0,5
2059,5832,3455380.0,6903.8,5
7681,4144,3510660.0,7053.200000000001,5
9163,4632,3749770.0,7547.400000000001,5
9131,3971,3351360.0,6666.400000000001,5
6225,5953,3287830.0,6573.200000000001,5
5858,3677,3274790.0,6556.6,5
1083,3234,3385830.0,6740.200000000001,5
2525,5871,3258470.0,6461.6,5
